TimePeriod,Inst g,Avg g,Lengths
1.018,304.75735,2.24217,8.0
1.138,243.87384,4.27389,8.0
2.056,74.71426,4.27389,8.0
1.018,304.75735,4.27389,8.0
1.238,206.067,4.27389,8.0
11.67,9.56604,9.56604,33.0
46.965,0.42956,0.42956,24.0
1.197,551.06323,0.42956,20.0
1.079,881.63794,0.42956,26.0
1.039,1170.24988,0.42956,32.0
1.023,1358.03503,0.42956,36.0
72.487,0.2254,0.2254,30.0
208.71201,0.02991,0.12766,33.0
20.713,2.76055,0.96273,30.0
12.847,4.78395,1.43667,20.0
117.875,0.05683,0.2987,20.0
12.194,5.31003,0.93479,20.0
11.392,6.08401,1.00269,20.0
9.772,8.26843,1.15889,20.0
1.06,702.71313,1.15889,20.0
1.02,758.90857,1.15889,20.0
3.178,78.17754,1.15889,20.0
52.568,0.37144,0.37144,26.0
13.056,5.09521,2.73333,22.0
1.24,564.85773,2.73333,22.0
15.746,4.77684,2.50339,30.0
16.664,2.84336,1.33669,20.0
998.599,0.0004,0.26742,10.0
53.688,0.27393,0.09022,20.0
1.241,512.67975,0.09022,20.0
17.567,3.58198,0.5246,28.0
74.674,0.1416,0.1416,20.0
12.881,4.75873,2.45016,20.0
1.219,531.35205,2.45016,20.0
17.067,2.033,1.49439,15.0
1.218,399.16867,1.49439,15.0
11.559,2.95474,1.11228,10.0
8.398,5.59768,1.34199,10.0
14.635,2.76481,0.68447,15.0
1.239,385.75223,0.68447,15.0
34.16,0.50748,0.17028,15.0
17.705,1.88912,0.25742,15.0
1.22,397.86099,0.25742,15.0
22.604,1.15899,0.15738,15.0
10.159,5.73785,0.58952,15.0
11.074,4.82883,0.6589,15.0
35.387,0.63052,0.63052,20.0
1.159,587.79089,0.63052,20.0
1.04,730.00043,0.63052,20.0
1.039,731.40625,0.63052,20.0
11.634,8.7503,4.69041,30.0
14.014,8.04073,4.24371,40.0
0.999,1582.2998,4.24371,40.0
1.199,1098.45288,4.24371,40.0
13.432,2.18816,1.60797,10.0
24.248,1.54431,1.54431,23.0
17.1,1.89015,1.89015,14.0
12.664,3.44624,2.6682,14.0
64.828,0.13151,0.93324,14.0
10.194,5.31861,1.50826,14.0
25.971,1.05355,1.05355,18.0
2.021,173.98015,1.05355,18.0
12.466,3.68361,3.68361,14.5
1.575,230.76323,3.68361,14.5
11.532,4.30446,3.99403,14.5
19.843,1.80475,1.80475,18.0
38.026,0.69621,1.25048,25.5
1.734,334.81259,1.25048,25.5
1.812,306.60806,1.25048,25.5
2.081,232.46404,1.25048,25.5
2.081,232.46404,1.25048,25.5
2.077,233.36031,1.25048,25.5
19.574,0.01494,0.01494,14.5
1.553,2.37348,0.26686,14.5
21.431,0.01246,0.01246,14.5
2.295,1.08683,0.1238,14.5
1.525,2.46143,0.12336,14.5
19.99,0.02075,0.0047,21.0
1.851,2.41973,0.07122,21.0
2.044,1.98435,0.04643,21.0
1.85,2.42234,0.0466,21.0
1.844,2.43813,0.03998,21.0
1.844,2.43813,0.03484,21.0
1.824,2.49189,0.03153,21.0
